[0]	validation_0-rmse:0.32944	validation_1-rmse:0.33096
[1]	validation_0-rmse:0.32326	validation_1-rmse:0.32498
[2]	validation_0-rmse:0.31831	validation_1-rmse:0.32018
[3]	validation_0-rmse:0.31439	validation_1-rmse:0.31639
[4]	validation_0-rmse:0.31126	validation_1-rmse:0.31339
[5]	validation_0-rmse:0.30880	validation_1-rmse:0.31104
[6]	validation_0-rmse:0.30683	validation_1-rmse:0.30921
[7]	validation_0-rmse:0.30528	validation_1-rmse:0.30775
[8]	validation_0-rmse:0.30401	validation_1-rmse:0.30653
[9]	validation_0-rmse:0.30297	validation_1-rmse:0.30561
[10]	validation_0-rmse:0.30195	validation_1-rmse:0.30469
[11]	validation_0-rmse:0.30129	validation_1-rmse:0.30407
[12]	validation_0-rmse:0.30069	validation_1-rmse:0.30353
[13]	validation_0-rmse:0.30022	validation_1-rmse:0.30314
[14]	validation_0-rmse:0.29975	validation_1-rmse:0.30281
[15]	validation_0-rmse:0.29943	validation_1-rmse:0.30255
[16]	validation_0-rmse:0.29913	validation_1-rmse:0.30234
[17]	validation_0-rmse:0.29877	validation_1-rmse:0.30209
[18]	validation_0-rmse:0.29854	validation_1-rmse:0.30196
[19]	validation_0-rmse:0.29826	validation_1-rmse:0.30177
[20]	validation_0-rmse:0.29805	validation_1-rmse:0.30163
[21]	validation_0-rmse:0.29789	validation_1-rmse:0.30155
[22]	validation_0-rmse:0.29772	validation_1-rmse:0.30145
[23]	validation_0-rmse:0.29753	validation_1-rmse:0.30135
[24]	validation_0-rmse:0.29734	validation_1-rmse:0.30124
[25]	validation_0-rmse:0.29722	validation_1-rmse:0.30118
[26]	validation_0-rmse:0.29709	validation_1-rmse:0.30108
[27]	validation_0-rmse:0.29697	validation_1-rmse:0.30104
[28]	validation_0-rmse:0.29686	validation_1-rmse:0.30098
[29]	validation_0-rmse:0.29673	validation_1-rmse:0.30094
[30]	validation_0-rmse:0.29662	validation_1-rmse:0.30084
[31]	validation_0-rmse:0.29650	validation_1-rmse:0.30079
[32]	validation_0-rmse:0.29636	validation_1-rmse:0.30076
[33]	validation_0-rmse:0.29625	validation_1-rmse:0.30074
[34]	validation_0-rmse:0.29617	validation_1-rmse:0.30075
[35]	validation_0-rmse:0.29602	validation_1-rmse:0.30065
[36]	validation_0-rmse:0.29586	validation_1-rmse:0.30055
[37]	validation_0-rmse:0.29575	validation_1-rmse:0.30050
[38]	validation_0-rmse:0.29561	validation_1-rmse:0.30044
[39]	validation_0-rmse:0.29550	validation_1-rmse:0.30037
[40]	validation_0-rmse:0.29539	validation_1-rmse:0.30033
[41]	validation_0-rmse:0.29528	validation_1-rmse:0.30028
[42]	validation_0-rmse:0.29518	validation_1-rmse:0.30025
[43]	validation_0-rmse:0.29512	validation_1-rmse:0.30024
[44]	validation_0-rmse:0.29494	validation_1-rmse:0.30021
[45]	validation_0-rmse:0.29479	validation_1-rmse:0.30014
[46]	validation_0-rmse:0.29469	validation_1-rmse:0.30011
[47]	validation_0-rmse:0.29464	validation_1-rmse:0.30010
[48]	validation_0-rmse:0.29454	validation_1-rmse:0.30006
[49]	validation_0-rmse:0.29446	validation_1-rmse:0.30005
[50]	validation_0-rmse:0.29438	validation_1-rmse:0.30003
[51]	validation_0-rmse:0.29431	validation_1-rmse:0.29999
[52]	validation_0-rmse:0.29426	validation_1-rmse:0.29999
[53]	validation_0-rmse:0.29419	validation_1-rmse:0.29998
[54]	validation_0-rmse:0.29408	validation_1-rmse:0.29994
[55]	validation_0-rmse:0.29403	validation_1-rmse:0.29994
[56]	validation_0-rmse:0.29392	validation_1-rmse:0.29992
[57]	validation_0-rmse:0.29383	validation_1-rmse:0.29991
[58]	validation_0-rmse:0.29372	validation_1-rmse:0.29986
[59]	validation_0-rmse:0.29368	validation_1-rmse:0.29985
[60]	validation_0-rmse:0.29363	validation_1-rmse:0.29985
[61]	validation_0-rmse:0.29354	validation_1-rmse:0.29984
[62]	validation_0-rmse:0.29347	validation_1-rmse:0.29983
[63]	validation_0-rmse:0.29338	validation_1-rmse:0.29981
